A_lat,A_long,A_locality,B_lat,B_long,B_locality,month,weekday,hour,car_distance,pt_distance,car_time,pt_time
45.439654673043684,9.230130520132208,Corvetto,45.48293814967613,9.128474154993343,Ippodromo del Galoppo,May,Wednesday,4,15085,14510,1789,5600
45.45129936487092,9.205569617180483,Porta Romana,45.51998716008183,9.160319063268613,Bovisasca,March,Friday,16,12300,11664,2482,3282
45.474707423601465,9.217736368132446,Città Studi,45.508896758766845,9.253478802729619,Crescenzago,July,Wednesday,21,5099,6928,604,3190
45.47950071479738,9.225163997335834,Città Studi,45.43168409073208,9.1227037091608,Ronchetto sul Naviglio,June,Wednesday,19,13298,14794,2286,3368
45.42718605235124,9.152222404341066,Boffalora,45.50513237985308,9.176829216799694,Dergano,March,Tuesday,22,11597,12383,1394,4064
45.47561224745387,9.23916826143274,Lambrate,45.495684260464216,9.215549605441906,Greco,December,Wednesday,18,5874,5869,1233,2880
45.470253430540275,9.214251838697379,Cascina Acquabella,45.43427873519561,9.124175679548058,Ronchetto sul Naviglio,January,Friday,23,10645,12186,1317,4584
45.51648618572241,9.113723278293337,Roserio,45.49039014607158,9.161379088033154,Ghisolfa,October,Saturday,4,5378,5756,603,4600
45.481523787093394,9.220158145367684,Città Studi,45.43798903670586,9.206833326044128,Scalo Romana,March,Wednesday,19,6826,9131,1098,3227
45.45113835651214,9.192734335867554,Vigentina,45.488686929049706,9.218106993882376,Loreto,June,Saturday,4,5250,5524,767,3289
45.42420880536434,9.222822999088029,Nosedo,45.42220698675065,9.209658818195951,Macconago,September,Thursday,13,4494,5698,701,4133
45.482549807269756,9.188650523096722,GARIBALDI REPUBBLICA,45.48624790881062,9.204330062711806,Centrale,March,Tuesday,5,2276,1835,430,1354
45.475579286907866,9.251762534438852,Lambrate,45.439541259244145,9.220304272105192,Lodi - Corvetto,May,Wednesday,8,8395,6942,727,3542
45.510992575162895,9.202845259448209,Segnano,45.47231330216293,9.210167223617322,Porta Monforte,July,Tuesday,16,5854,5527,1224,2590
45.469208337713845,9.163165592931062,Pagano,45.47994703197987,9.215521290931685,Città Studi,April,Thursday,3,5454,8178,934,2974
45.479846014071896,9.18034720813632,Sarpi,45.47142469860052,9.145311823241618,De Angeli - Monte Rosa,April,Friday,15,4175,6085,923,2338
45.50399256036242,9.189761652935594,Montalbino,45.48180238085749,9.133025958158346,Ippodromo del Galoppo,September,Sunday,13,9218,9525,1185,3524
45.46587087114106,9.117161856478548,Quarto Cagnino,45.49674061035863,9.21564225167823,Greco,March,Monday,12,11643,13170,1514,3057
45.50167498664904,9.2045965836099,Maciachini - Maggiolina,45.45990507098599,9.175940144801324,Porta Genova,August,Monday,19,7232,6251,1372,2118
45.44601016136521,9.115411095602845,Lorenteggio,45.48986769036323,9.118904421095236,Gallaratese,August,Monday,3,6143,14304,630,5977
45.42324209251444,9.222487557124198,Vaiano Valle,45.49524797768425,9.21087026953067,Cassina de' Pomm,December,Monday,6,9743,14207,1356,5199
45.4366644742774,9.13394917047614,Ronchetto sul Naviglio,45.44813234056387,9.203744586430503,Porta Romana,March,Tuesday,20,7448,8468,986,3679
45.49667083461557,9.204577581554027,Cassina de' Pomm,45.47682463978981,9.233821102704505,Città Studi,October,Monday,9,4319,5574,930,2921
45.46674185581285,9.165127502307875,Pagano,45.469257431530586,9.153231755270365,De Angeli - Monte Rosa,March,Saturday,6,1257,1390,206,926
45.516835215688985,9.254261426488778,Adriano,45.430955605435315,9.206417674480551,Ripamonti,March,Wednesday,22,17473,15864,1210,6632
45.43673548369011,9.159486773024604,Barona,45.42701974644179,9.221895920441591,Vaiano Valle,July,Saturday,23,6211,6334,672,3187
45.49016404234058,9.24759987875579,Lambrate,45.44337128130503,9.131556561022537,Giambellino,September,Saturday,20,35231,14918,1642,4058
45.43103921212862,9.227381914797892,Nosedo,45.4951645960796,9.127945995185483,Boldinasco,March,Friday,7,15229,18649,2597,4599
45.50099118175142,9.230681394033182,Turro,45.434976125269905,9.231745753356721,Nosedo,June,Tuesday,19,17128,12467,1140,3971
45.44848749941155,9.158958807587762,Zona Navigli,45.4354680613106,9.225390919019718,Corvetto,May,Monday,13,7397,9586,1004,3327
45.491907716455785,9.132448218458055,Gallaratese,45.47388751700628,9.235706307320132,Città Studi,December,Thursday,6,11592,12712,1770,4146
45.45448177684757,9.125611079828797,Lorenteggio,45.45072307296083,9.220605550307612,Umbria - Molise,November,Friday,4,9327,10715,1197,4618
45.493163304597545,9.174510836939396,Farini,45.48850797722782,9.161205031531743,Ghisolfa,July,Saturday,18,3335,2716,632,1837
